BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.1,0.05,0.05,0.05,0.7451054626588034,0.9129833850846197,0.842675045820655,0.8480715240690282,0.6860594003254679,0.6381280058158321,0.6845087019146039,,,
0.05,0.1,0.15,0.0,0.7449113683052098,0.9114937728845081,0.8239271718274566,0.8571873110808356,0.7290575524816925,0.579424650726979,0.7076833395818313,,,
0.1,0.05,0.1,0.05,0.7448163570040617,0.912896425689666,0.8401295065330231,0.8496401961852861,0.6948070366151343,0.6258493990306947,0.693877738844829,,,
0.1,0.05,0.05,0.1,0.7445634055990249,0.9122548809373257,0.8453114141757652,0.8433248201634878,0.6676406004882018,0.6561226235864297,0.6788312706881359,,,
0.1,0.0,0.0,0.15,0.7444337994177682,0.9090100259872295,0.847771235546805,0.8261539118982743,0.6174683978844588,0.695537713085622,0.660199655211087,,,
0.1,0.05,0.1,0.15,0.7442487411432845,0.9117452429979542,0.8458583517093252,0.8407838483197094,0.6574048698128561,0.6630387528271406,0.6823418034126413,,,
0.05,0.1,0.0,0.15,0.7438571810414898,0.9123539965780175,0.8437618693395381,0.8423184173478656,0.6536890618388934,0.6737141473344104,0.6663462167748138,,,
0.1,0.05,0.15,0.1,0.743392930282583,0.9123273839687557,0.8403934592804725,0.8472063896457765,0.686016525630594,0.6325628588045235,0.6977977920371706,,,
0.1,0.05,0.1,0.1,0.7433482793423425,0.9125399090198995,0.8432591045283695,0.8457124836512261,0.6773026330349878,0.6456437712439418,0.6887447565489065,,,
0.1,0.05,0.15,0.15,0.7433267157507294,0.911906726303391,0.843516393055307,0.8430827511353315,0.6670764515866558,0.651776620355412,0.6919628296082673,,,
0.05,0.1,0.0,0.0,0.7429968574153454,0.914106803992313,0.8354304678718454,0.8554221080835605,0.7079331261187958,0.6225973027463652,0.6828285806296563,,,
0.05,0.1,0.1,0.0,0.742777234491762,0.9128890476721839,0.8287544965097547,0.8571413773841962,0.7230171090317331,0.5965138959612277,0.7004087374829768,,,
0.05,0.1,0.05,0.0,0.7421869587201153,0.9137531973219267,0.8325802700912833,0.8565555031789281,0.7159832855980471,0.6108268594507269,0.6920902960826724,,,
0.05,0.1,0.0,0.1,0.7412432885354214,0.9133658626247598,0.8414790859137283,0.8474096861943688,0.6740678112286412,0.6588128342487884,0.6731659077144918,,,
0.05,0.1,0.0,0.05,0.7411375691737875,0.9139533241584528,0.8387378174333273,0.8518752266121707,0.6919703002441009,0.641824966720517,0.678612451173596,,,
0.05,0.1,0.05,0.15,0.7400616479651061,0.9131114413985494,0.8424801016645784,0.8452658710263398,0.664754065093572,0.6667910164781906,0.6774712391252102,,,
0.05,0.1,0.15,0.05,0.7398364843556037,0.9125099541751905,0.8292480692679435,0.8551240018165305,0.7160138567941416,0.6040235457189015,0.705382895137387,,,
0.05,0.1,0.05,0.05,0.739394234603321,0.913978571024735,0.8365329561482011,0.8536226462306994,0.7009896444263629,0.6317425925686592,0.6884473453496756,,,
